episode: 478/1000, score: 9, epsilon: 0.087
episode: 479/1000, score: 9, epsilon: 0.086
episode: 480/1000, score: 9, epsilon: 0.086
episode: 481/1000, score: 10, epsilon: 0.085
episode: 482/1000, score: 8, epsilon: 0.085
episode: 483/1000, score: 8, epsilon: 0.084
episode: 484/1000, score: 8, epsilon: 0.084
episode: 485/1000, score: 9, epsilon: 0.084
episode: 486/1000, score: 9, epsilon: 0.083
episode: 487/1000, score: 9, epsilon: 0.083
episode: 488/1000, score: 8, epsilon: 0.082
episode: 489/1000, score: 8, epsilon: 0.082
episode: 490/1000, score: 8, epsilon: 0.082
episode: 491/1000, score: 7, epsilon: 0.081
episode: 492/1000, score: 9, epsilon: 0.081
episode: 493/1000, score: 8, epsilon: 0.08
episode: 494/1000, score: 8, epsilon: 0.08
episode: 495/1000, score: 8, epsilon: 0.08
episode: 496/1000, score: 8, epsilon: 0.079
episode: 497/1000, score: 10, epsilon: 0.079
episode: 498/1000, score: 8, epsilon: 0.078
episode: 499/1000, score: 8, epsilon: 0.078
episode: 500/1000, score: 9, epsilon: 0.078
episode: 501/1000, score: 7, epsilon: 0.077
episode: 502/1000, score: 8, epsilon: 0.077
episode: 503/1000, score: 7, epsilon: 0.076
episode: 504/1000, score: 9, epsilon: 0.076
episode: 505/1000, score: 8, epsilon: 0.076
episode: 506/1000, score: 7, epsilon: 0.075
episode: 507/1000, score: 8, epsilon: 0.075
episode: 508/1000, score: 8, epsilon: 0.075
episode: 509/1000, score: 7, epsilon: 0.074
episode: 510/1000, score: 9, epsilon: 0.074
episode: 511/1000, score: 9, epsilon: 0.073
episode: 512/1000, score: 10, epsilon: 0.073
episode: 513/1000, score: 8, epsilon: 0.073
episode: 514/1000, score: 9, epsilon: 0.072
episode: 515/1000, score: 8, epsilon: 0.072
episode: 516/1000, score: 8, epsilon: 0.072
episode: 517/1000, score: 7, epsilon: 0.071
episode: 518/1000, score: 9, epsilon: 0.071
episode: 519/1000, score: 8, epsilon: 0.071
episode: 520/1000, score: 8, epsilon: 0.07
episode: 521/1000, score: 7, epsilon: 0.07
episode: 522/1000, score: 8, epsilon: 0.069
episode: 523/1000, score: 9, epsilon: 0.069
episode: 524/1000, score: 9, epsilon: 0.069
episode: 525/1000, score: 8, epsilon: 0.068
episode: 526/1000, score: 7, epsilon: 0.068
episode: 527/1000, score: 8, epsilon: 0.068
episode: 528/1000, score: 9, epsilon: 0.067
episode: 529/1000, score: 9, epsilon: 0.067
episode: 530/1000, score: 9, epsilon: 0.067
episode: 531/1000, score: 8, epsilon: 0.066
episode: 532/1000, score: 9, epsilon: 0.066
episode: 533/1000, score: 9, epsilon: 0.066
episode: 534/1000, score: 7, epsilon: 0.065
episode: 535/1000, score: 8, epsilon: 0.065
episode: 536/1000, score: 9, epsilon: 0.065
episode: 537/1000, score: 10, epsilon: 0.064
episode: 538/1000, score: 9, epsilon: 0.064
episode: 539/1000, score: 8, epsilon: 0.064
episode: 540/1000, score: 8, epsilon: 0.063
episode: 541/1000, score: 9, epsilon: 0.063
episode: 542/1000, score: 8, epsilon: 0.063
episode: 543/1000, score: 7, epsilon: 0.063
episode: 544/1000, score: 8, epsilon: 0.062
episode: 545/1000, score: 9, epsilon: 0.062
episode: 546/1000, score: 8, epsilon: 0.062
episode: 547/1000, score: 9, epsilon: 0.061
episode: 548/1000, score: 8, epsilon: 0.061
episode: 549/1000, score: 8, epsilon: 0.061
episode: 550/1000, score: 8, epsilon: 0.06
